defined_class,defined_class label,stimulus,stimulus label
EO:0007089,"bone meal regimen",ENVO:02000054,"bone meal"
EO:0007156,"clay soil",ENVO:00002262,"clay soil"
EO:0007158,"sandy soil",ENVO:00002229,"arenosol"
EO:0007161,"air temperature regimen",ENVO_09200001,"temperature of air"
EO:0007181,"rainfall",ENVO:01000830,"water-based rainfall"
EO:0007396,"flood prone region",ENVO:02500002,"flooding"
EO:0007400,"arid region",ENVO:00000097,"desert"
EO:0007555,"natural gas",ENVO:01000552,"natural gas"
