defined_class	defined_class label	stimulus	stimulus label
PECO:0007089	"bone meal regimen"	ENVO:02000054	"bone meal"
PECO:0007156	"clay soil"	ENVO:00002262	"clay soil"
PECO:0007158	"sandy soil"	ENVO:00002229	"arenosol"
PECO:0007161	"air temperature regimen"	ENVO:09200001	"temperature of air"
PECO:0007181	"rainfall"	ENVO:01000830	"water-based rainfall"
PECO:0007396	"flood prone region"	ENVO:02500002	"flooding"
PECO:0007400	"arid region"	ENVO:00000097	"desert"
PECO:0007555	"natural gas"	ENVO:01000552	"natural gas"
